id,http_status,html_bytes,h2_count,h3_count,form_count,table_count,cta_text_hits,structural_observation
C01,200,39134,0,0,1,1,8,画像主体の長尺LPでフォームと電話CTAが反復される
C02,200,37747,14,11,2,3,38,診断フォームと安心材料を多段で置くLP
C03,200,191298,7,19,3,0,0,事例量が多いリースバックLP
C04,200,329812,10,12,2,1,6,選択肢と注意点を中心にした解説記事
C05,200,108023,9,23,1,17,32,比較表が多い比較記事
C06,200,567371,9,33,0,1,114,比較表とサービスカード中心のデータベース
C07,200,170065,14,24,0,1,11,ランキングと個別カード中心の比較記事
C08,200,190942,15,39,2,20,157,表と個別解説を厚くした長文比較記事
C09,200,94876,6,15,1,2,1,比較表の後に業界課題を解説する記事
C10,200,88804,16,92,1,11,9,適合判定とケース分岐が多い長文比較記事
