priority,ad_group,keyword,match_type,initial_max_cpc_yen,selection_basis,initial_action
S,AG01_コア融資_完全一致,運送業 融資,Exact,70,業種と融資意図が明確・サジェスト起点語,開始
S,AG01_コア融資_完全一致,運送会社 融資,Exact,70,事業者が使う会社表現・融資意図が明確,開始
S,AG01_コア融資_完全一致,運送業 運転資金 融資,Exact,60,使途と融資意図が明確・サジェスト起点語,開始
S,AG01_コア融資_完全一致,運送会社 運転資金 融資,Exact,60,法人事業者表現と使途が明確,開始
S,AG01_コア融資_完全一致,運送業 ビジネスローン,Exact,60,商品種別と業種が一致,開始
S,AG01_コア融資_完全一致,運送会社 ビジネスローン,Exact,60,法人向け商品種別と業種が一致,開始
S,AG01_コア融資_完全一致,運送業 法人 融資,Exact,55,法人限定の成果条件に合う,開始
S,AG01_コア融資_完全一致,運送業 事業資金,Exact,55,公式LPの事業資金融資と業種が一致,開始
A,AG02_状況発掘_フレーズ一致,運送業 法人 融資,Phrase,45,法人限定を保った近接検索語の発掘,開始
A,AG02_状況発掘_フレーズ一致,運送業 事業資金,Phrase,45,資金使途の近接語を回収,開始
A,AG02_状況発掘_フレーズ一致,運送業 運転資金,Phrase,45,サジェスト起点語・融資語の揺れを回収,開始
A,AG02_状況発掘_フレーズ一致,貨物運送 融資,Phrase,40,業種の言い換えによる低CPC発掘,開始
A,AG02_状況発掘_フレーズ一致,トラック会社 融資,Phrase,40,事業者の具体表現による低CPC発掘,開始
A,AG02_状況発掘_フレーズ一致,運送業 車両修理 融資,Phrase,40,車両修繕という公式PRの資金需要からの派生,開始
A,AG02_状況発掘_フレーズ一致,運送業 燃料費 融資,Phrase,40,燃料費という業界課題からの派生・低額発掘枠,開始
