keyword,theme,sub_theme,intent,corporate_transport_score,funding_intent_score,over_3m_score,financial_health_score,cpc_score,total_score,monthly_search_range,estimated_monthly_searches,competition,top_bid_low,top_bid_high,rank,recommended_match_type,initial_max_cpc,reason,risk,source,notes
車両増台 運送会社 資金不足,受注増・成長資金,先行資金,成長に伴う運転資金,25,25,20,15,未評価,85,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規路線 運送会社 資金不足,受注増・成長資金,先行資金,成長に伴う運転資金,25,25,20,15,未評価,85,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
大口受注 運送会社 資金不足,受注増・成長資金,先行資金,成長に伴う運転資金,25,25,20,15,未評価,85,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
運送会社 車両ローン 審査 通らない,車両導入・増車,法人フィルター,車両導入の代替資金,25,25,20,10,未評価,80,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,法人・事業用を明示し個人購入を抑える。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
車両増台 運送会社 運転資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,20,15,未評価,80,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
車両増台 運送会社 資金繰り,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,20,15,未評価,80,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規路線 運送会社 運転資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,20,15,未評価,80,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
新規路線 運送会社 資金繰り,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,20,15,未評価,80,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
大口受注 運送会社 運転資金,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,20,15,未評価,80,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
大口受注 運送会社 資金繰り,受注増・成長資金,先行資金,成長に伴う運転資金,25,20,20,15,未評価,80,未調査,,CPC不明,CPC不明,CPC不明,A,完全一致（KWP確認後にフレーズ追加）,50円,仕事の増加に対し人件費・燃料・傭車費が先行する局面。,,追加KWPシード（要実測）,KWP未調査。検索数・CPCを推測していない。
