theme,keyword_count,S_count,A_count,estimated_total_searches,average_cpc_low,corporate_transport_strength,funding_intent_strength,recommendation
受注増・成長資金,81,0,59,0,CPC不明,非常に強い,強い,審査健全度が高い。成長イベント別に検証。
車両導入・増車,148,0,96,80,339,強い,中〜強,金額期待は高いが個人・販売店意図を必ず除外。
燃料・ETC,88,0,42,0,CPC不明,強い,中〜強,カード・引落・限度額に限定。
傭車・外注,89,0,57,0,CPC不明,非常に強い,強い,最優先。説明・求人語を除き、支払い系をKWP再投入。
既存配信監査,14,0,8,40,CPC不明,中〜強,中〜強,KWP数値が取れてから採否を判断。
入金ギャップ,64,0,15,0,CPC不明,非常に強い,強い,KWP数値が取れてから採否を判断。
KWP再調査優先,4,0,2,300,CPC不明,中〜強,中〜強,KWP数値が取れてから採否を判断。
修理・事故・稼働停止,83,0,19,0,CPC不明,強い,強い,「支払えない・保険金待ち」だけを残す。
融資待ち・追加資金,36,0,11,0,CPC不明,中〜強,非常に強い,KWP数値が取れてから採否を判断。
既存KWP観測,13,0,4,480,213,中〜強,中〜強,KWP数値が取れてから採否を判断。
設備・拠点投資,36,0,17,0,CPC不明,中〜強,中〜強,KWP数値が取れてから採否を判断。
直接金融・比較,36,0,7,80,463,中〜強,非常に強い,KWP数値が取れてから採否を判断。
人件費・保険,31,0,5,0,CPC不明,中〜強,中〜強,KWP数値が取れてから採否を判断。
