"Campaign","Ad group","Keyword","Match type","Status","Max CPC","Final URL"
"共通探索CP","AG01 融資・事業資金","運送会社 融資","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG01 融資・事業資金","運送業 ビジネスローン","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG01 融資・事業資金","運送業 事業資金","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG01 融資・事業資金","運送業 即日融資","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG01 融資・事業資金","運送業 資金調達","Exact","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG01 融資・事業資金","運送業 運転資金","Exact","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG01 融資・事業資金","運送業 資金繰り","Exact","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG02 資金不足・支払い","運送会社 資金不足","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG02 資金不足・支払い","運送会社 資金ショート","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG02 資金不足・支払い","運送業 支払い 間に合わない","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG02 資金不足・支払い","運送業 燃料代 払えない","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG02 資金不足・支払い","運送会社 給料 払えない","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG03 車両資金","運送会社 車両修理 資金","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG03 車両資金","トラック 修理 資金","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG03 車両資金","トラック 修理費 払えない","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
"共通探索CP","AG03 車両資金","トラック 増車 資金","Phrase","Enabled","50","https://unsou-shikin.hakobu-family.com/actwill/"
