"Campaign","Keyword","Criterion Type","Status"
"共通探索CP","アクトウィル","Campaign Negative Exact","Enabled"
"共通探索CP","アクト ウィル","Campaign Negative Exact","Enabled"
"共通探索CP","actwill","Campaign Negative Exact","Enabled"
"共通探索CP","act will","Campaign Negative Exact","Enabled"
"共通探索CP","個人","Campaign Negative Phrase","Enabled"
"共通探索CP","個人事業主","Campaign Negative Phrase","Enabled"
"共通探索CP","フリーランス","Campaign Negative Phrase","Enabled"
"共通探索CP","軽貨物 個人","Campaign Negative Phrase","Enabled"
"共通探索CP","車検","Campaign Negative Phrase","Enabled"
"共通探索CP","車検費用","Campaign Negative Phrase","Enabled"
"共通探索CP","車検代","Campaign Negative Phrase","Enabled"
"共通探索CP","車検相場","Campaign Negative Phrase","Enabled"
"共通探索CP","法定費用","Campaign Negative Phrase","Enabled"
"共通探索CP","自賠責","Campaign Negative Phrase","Enabled"
"共通探索CP","重量税","Campaign Negative Phrase","Enabled"
"共通探索CP","補助金","Campaign Negative Phrase","Enabled"
"共通探索CP","助成金","Campaign Negative Phrase","Enabled"
"共通探索CP","給付金","Campaign Negative Phrase","Enabled"
"共通探索CP","ファクタリング","Campaign Negative Phrase","Enabled"
