"キーワード","指定時の原文","種別","投入群","抽出元","月間平均検索ボリューム","競合性","上部掲載単価（低額帯）","上部掲載単価（高額帯）","3か月の推移","前年比の推移","広告インプレッションシェア","対象期間","地域","言語","ネットワーク","取得日","備考"
"運送 業 資金繰り","運送業 資金繰り","指定KW","資金繰り系","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥270","￥1,389","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 運転 資金","運送業 運転資金","指定KW","資金繰り系","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥582","￥1,810","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 会社 資金 不足","運送会社 資金不足","指定KW","資金繰り系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 会社 お金 が ない","運送会社 お金がない","指定KW","資金繰り系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 会社 資金 ショート","運送会社 資金ショート","指定KW","資金繰り系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 支払い 間に合わ ない","運送業 支払い 間に合わない","指定KW","資金繰り系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 会社 燃料 代 支払い","運送会社 燃料代 支払い","指定KW","燃料・給与・固定費系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 燃料 代 払え ない","運送業 燃料代 払えない","指定KW","燃料・給与・固定費系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 会社 給料 払え ない","運送会社 給料 払えない","指定KW","燃料・給与・固定費系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"運送 業 人件 費 資金","運送業 人件費 資金","指定KW","燃料・給与・固定費系","Keyword Planner「新しいキーワードを見つける」","0～10","—","—","—","—","—","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"トラック 車検 費用","トラック 車検 費用","指定KW","車両系","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥119","￥300","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","1000～1万","低","￥62","￥224","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥61","￥200","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 車検 費用 平均","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥52","￥182","+900%","+900%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"2 トントラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥109","￥643","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"ハイゼット トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","-90%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"大型 トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック の 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥61","￥200","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ の 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥63","￥269","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ の 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","1000～1万","低","￥62","￥224","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"4 トントラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥84","￥596","-90%","-90%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 車検 料金","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","中","￥69","￥149","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラ 車検 相場","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥68","￥268","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"2t トラック 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","100～1000","低","￥117","￥388","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"3 トンダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥100","￥260","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"2 トンダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥135","￥249","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"軽 トラック 車検 代","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","￥63","￥274","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
"大型 ダンプ 車検 費用","","Google関連候補","関連候補（車両・固定費バッチ）","Keyword Planner「新しいキーワードを見つける」","10～100","低","—","—","0%","0%","—","2025年7月～2026年6月（過去12か月）","日本","日本語（指標照合のみ全言語）","Google","2026-08-11",""
